score,bollinger_up_distance_ratio,bollinger_down_distance_ratio,yesterday_noise,yesterday_range_ratio,target_ratio,current_high_price_ratio,current_low_price_ratio,today_open_price,current_price,result
59,0.75,61.14,0.56,8.84,4.08,4.72,-1.79,471.54,493.78,LONG
59,4.21,66.59,0.23,14.75,6.21,7.97,-1.49,524.93,566.79,LONG
31,7.73,73.11,0.41,23.41,-9.32,1.06,-10.42,597.88,535.61,LONG
59,4.75,70.25,0.38,12.16,6.17,6.6,1.17,552.28,588.76,SHORT
-17,13.07,65.17,0.7,4.26,-2.11,0.43,-2.63,543.11,528.8,SHORT
39,22.07,59.66,0.45,11.29,5.68,6.06,-0.13,509.29,540.17,SHORT
-45,21.69,56.36,0.87,8.59,-4.07,1.01,-4.61,515.2,491.43,SHORT
59,29.57,48.87,0.71,21.23,10.17,11.46,-2.89,482.89,538.24,SHORT
59,24.38,47.78,0.7,15.09,6.73,7.35,-6.02,505.06,542.18,LONG
-51,18.21,45.36,0.47,13.49,-6.77,7.01,-7.51,544.55,503.66,LONG
-59,26.85,37.3,0.63,19.5,-9.51,2.59,-10.75,505.36,451.02,LONG
-59,20.53,34.7,0.75,16.43,-7.31,0.45,-8.09,526.43,483.86,LONG
49,22.16,23.18,0.76,7.73,3.66,4.02,-0.56,505.97,526.31,LONG
59,14.83,24.41,0.39,9.58,4.33,4.59,-1.7,535.74,560.32,LONG
31,6.52,24.07,0.37,10.03,-4.5,1.88,-4.79,569.78,542.49,LONG
59,6.82,19.79,0.84,7.04,3.44,3.68,-1.52,563.58,584.31,LONG
3,1.67,25.56,0.93,5.81,-2.83,1.19,-3.19,620.91,601.13,LONG
59,2.23,26.14,0.96,5.39,2.62,2.7,0.03,622.37,639.15,LONG
31,2.55,33.72,0.07,9.43,-4.15,0.32,-5.17,676.99,642.0,SHORT
59,9.02,26.5,0.11,10.98,5.74,6.16,-0.61,610.62,648.24,LONG
-23,4.05,31.57,0.17,8.26,-3.72,0.43,-3.9,652.48,627.06,LONG
-41,8.2,28.85,0.48,5.33,-2.67,0.48,-2.77,634.49,616.89,LONG
59,10.59,26.9,0.73,5.16,2.55,2.8,-0.88,625.49,643.0,LONG
59,7.54,27.45,0.45,6.35,2.98,3.24,-2.4,647.13,668.09,SHORT
59,6.04,27.88,0.68,7.73,3.63,4.08,0.01,662.98,690.05,SHORT
-29,6.54,28.2,0.22,8.21,-3.71,1.94,-3.95,672.01,645.49,SHORT
-59,19.56,16.76,0.26,15.36,-7.98,6.4,-9.48,595.41,538.97,LONG
-59,16.02,13.6,0.35,8.71,-3.96,1.27,-4.14,604.01,579.0,SHORT
-3,22.64,5.01,0.24,8.58,4.39,4.66,-0.11,564.49,590.82,SHORT
-59,21.91,3.88,1.0,12.78,-6.0,-0.3,-6.73,564.8,526.76,SHORT
-59,38.37,1.49,0.9,7.54,-3.66,1.61,-4.21,508.74,487.33,SHORT
-59,95.1,3.6,0.59,41.72,-15.12,5.97,-17.97,391.86,321.45,LONG
-59,165.85,4.0,0.48,15.7,-7.87,4.42,-8.73,299.78,273.61,SHORT
-17,207.45,1.68,0.62,34.57,16.57,20.11,-1.12,260.83,313.28,LONG
35,128.92,35.03,0.97,20.13,9.2,10.4,-1.78,343.6,379.33,LONG
-13,103.35,44.14,0.31,15.19,-6.43,-0.14,-6.95,379.74,353.35,LONG
-21,104.54,45.52,0.8,12.59,-6.07,0.85,-6.68,370.15,345.44,SHORT
-59,123.97,42.33,0.34,16.67,-8.57,5.53,-9.68,329.13,297.28,LONG
-19,133.42,40.89,0.53,15.91,7.91,8.61,-4.15,304.62,330.86,SHORT
47,110.57,46.29,0.56,15.68,6.83,7.42,-5.51,325.6,349.77,LONG
55,70.46,48.17,0.66,7.2,3.39,3.8,-3.14,362.28,376.06,LONG
31,30.67,50.87,0.34,10.37,-4.63,-0.04,-6.45,428.67,401.02,SHORT
59,35.63,42.79,0.41,15.0,7.6,8.37,-0.67,390.69,423.39,SHORT
59,18.99,35.11,0.8,4.85,2.35,2.87,-0.73,393.76,405.04,SHORT
-59,21.69,23.65,0.35,14.08,-7.19,2.21,-8.04,358.0,329.22,LONG
21,23.74,22.02,0.88,13.26,6.31,6.91,-5.26,352.35,376.69,SHORT
